zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
stl10,grads,12,GradientBoosting,0.2815,0.302,0.2901056676272814,0.2959333659970602,"[[261 739]
 [698 302]]"
stl10,grads,12,RandomForest,0.0965,0.086,0.0878447395301327,0.0869125821121778,"[[107 893]
 [914  86]]"
stl10,grads,13,HistGradientBoosting,0.119,0.111,0.1128048780487804,0.1118951612903225,"[[127 873]
 [889 111]]"
stl10,grads,13,GradientBoosting,0.303,0.329,0.3127376425855513,0.3206627680311891,"[[277 723]
 [671 329]]"
stl10,grads,13,RandomForest,0.0955,0.089,0.0901722391084093,0.0895822848515349,"[[102 898]
 [911  89]]"
stl10,grads,14,HistGradientBoosting,0.1225,0.122,0.1221221221221221,0.1220610305152576,"[[123 877]
 [878 122]]"
stl10,grads,14,GradientBoosting,0.3215,0.327,0.3234421364985163,0.3252113376429637,"[[316 684]
 [673 327]]"
stl10,grads,14,RandomForest,0.098,0.087,0.0889570552147239,0.0879676440849342,"[[109 891]
 [913  87]]"
stl10,grads,15,HistGradientBoosting,0.1215,0.117,0.1180625630676084,0.1175288799598191,"[[126 874]
 [883 117]]"
stl10,grads,15,GradientBoosting,0.3255,0.341,0.3307468477206595,0.3357951747907434,"[[310 690]
 [659 341]]"
